Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\stochasticBenchmarks\fg_array_search_10.sl,true,39,(ite (not (or (or (>= k x3) (and true false)) (>= (ite false x8 x2) (ite false (* 0 (+ (+ (* -7 x4) (- x4 x5)) (+ (- -1 x4) (+ x5 x1)))) k)))) 2 (ite (and (> x1 k)  true ) (* 0 1) (ite (<= k x3) 1 (ite (and (>= k x6) (< (ite false x5 k) x7)) 6 (ite (and (<= x5 k) (and  true  (<= k x7))) (+ -5 10) (ite (> x4 k) (+ -5 8) (ite (and (<= (ite true k x4) (ite  false  (- x4 x7) (* 1 x9))) (<= x8 k)) 8 (ite (and (or (>= k x10) false)  true ) 10 (ite (>= x7 k) (- 4 (* 0 var8;)) (ite (>= k x8) 9  7)))))))))),503
src\main\resources\stochasticBenchmarks\fg_array_search_11.sl,true,37,(ite (and (> (- (ite  false  (* 0 x4) (ite (or (> (ite (> (ite (or (or  false   false ) true) (ite false x6 x11) (* 0 x7)) (- (* 0 x7) (* 19 x2))) x2 (* 0 x7)) (- (+ x10 x3) (* 19 x2)))  false ) k k)) (+ (* 19 x2) (- x1 x11))) (- (ite false x6 x11) (* 19 x2))) (< k x2)) 1 (ite (and (> x7 k) (< x6 k)) 6 (ite (and (< (ite  true  k 0) (+ (* 0 (+ x7 x7)) x8)) (and (not  false ) (>= k x7))) 7 (ite (and (or  false  (>= (* 1 x11) k)) (and (not (< k x10)) (or (or  false  (and true true))  false ))) 10 (ite (not (or (<= x7 k) (> x5 k))) 5 (ite (and (< k x2) true) (* 0 4) (ite (and (> k x5) (or (> x9 k)  false )) 8 (ite (and (> x5 k) (>= k x4)) 4 (ite (and (and (not  false ) (>= (- x11 x8) (- k x8))) (and  true  (< x7 k))) (- (- (- 7 (* 0 7)) -1) -1) (ite (or  false  (>= x3 k)) (- (- (* 0 var7;) -1) -1) (ite (< x9 k) 11  (* -1 -3)))))))))))),843
src\main\resources\stochasticBenchmarks\fg_array_search_12.sl,true,45,(ite (and  true  (and (< k x5) (not (and (>= x4 (ite true k x11)) (or true  false ))))) (* -4 -1) (ite (and  true  (and (<= x3 k) (>= x4 k))) (+ (+ (* 0 1) (+ 1 1)) 1) (ite (and (and (> k x9) (>= (ite false x4 x11) k)) (>= (ite (>= (ite false x4 x11) k) (ite false 3 x10) (+ x3 x9)) k)) (+ (+ (* 0 1) (+ 7 1)) 1) (ite (and (and (and (and  true  (or  true   false )) (and (>= (ite (>= (* 0 x1) (- x2 x11)) (* 1 k) (ite  false  (* 0 x7) (- x9 x4))) x7)  true ))  true ) (<= k x8)) 7 (ite (and (> x9 k) (<= x8 k)) (+ 7 1) (ite (< x12 k) 12 (ite (and (> (ite true x6 x12) k) (>= k x3)) 5 (ite (> (ite (not (and false false)) (* -9 (* 0 x10)) (- (* 0 x7) (* 1 x11))) (ite (not (and false true)) (* -1 (- x1 k)) (* 0 (ite false x3 x1)))) (* 12 (* 1 (- var9; var9;))) (ite (and (> k x4) (< k x8)) (* -1 -6) (ite (< (ite true x11 x11) k) (+ (+ (+ 8 1) 1) 1) (ite (or  false  (> x2 k)) 1 (ite (>= x6 k) (+ 1 1)  (- 10 0))))))))))))),923
src\main\resources\stochasticBenchmarks\fg_array_search_13.sl,true,67,(ite (and (>= k x3) (< k x4)) 3 (ite (and (> k x2) (<= (* 1 k) x4)) 2 (ite (and (and (< (- (ite false (- (ite false x3 x3) (ite false x2 x5)) x3) (ite false x2 x5)) (+ (* -1 (ite false x2 x5)) k))  true ) (<= k x5)) 4 (ite (<= k x1) (- var7; var7;) (ite (and (and (not (< k x6)) (> x7 k))  true ) 6 (ite (and  true  (and (< (ite  false  (- (* -17 (- x7 x10)) (* 12 (* 0 x12))) (* 1 (* -15 (* -11 0)))) (- (* 18 (ite (and (>= k x7) (or (and true false)  true )) (- k x2) (* -15 (* -11 0)))) (* 1 (* -15 (* -11 0))))) (or (and true false) (<= k x8)))) 7 (ite (<= x9 (ite (and (<= x9 k) (> (ite false x12 k) x10)) x2 k)) 9 (ite (<= k x4) (- 12 11) (ite (< k x8) 5 (ite (and (< x10 k) (<= (* 1 k) (ite false x4 x11))) 10 (ite (> k x13) 13 (ite (>= k (- (ite (>= k x12) (ite true x13 x7) (ite true x8 (ite (or true false) (ite false x11 1) (* 17 (ite  false  (- (ite true x3 x7) x10) x3))))) (- (ite true x8 (ite (or true false) (- x11 x5) (* 17 (ite  false  x12 x3)))) x10))) 11 (ite (and (> k x12) (and (< x12 k) (>= k x12))) 12  8))))))))))))),1041
src\main\resources\stochasticBenchmarks\fg_array_search_14.sl,true,74,(ite (and (and (< x10 k)  true ) (not (< x11 (ite true k (- x13 x2))))) 10 (ite (< (- (+ x11 k) x8) (ite  false  x11 (ite (<= x7 k) x11 k))) (+ 6 1) (ite (and (>= x8 k) (< x6 (ite  true  k (* 16 -5)))) (- 6 (* 0 (* 0 var3;))) (ite (and (< x1 (ite false x5 k)) (and  true  (< k x2))) 1 (ite (and (and  true  (> x5 k)) (and (> k x4)  true )) 4 (ite (and (< (* -1 (* -1 x3)) k) (and  true  (and (>= x5 k) (and  true   true )))) 3 (ite (>= (ite (>= x7 (ite false x9 k)) (- (* 1 x8) (- x8 k)) x2) x3) (+ (* 0 var15;) 5) (ite (and (<= k x11) (< x9 k)) 9 (ite (and (not (>= x9 k)) (>= x12 k)) 11 (ite (<= x14 k) 14 (ite (> k x13) 13 (ite (< (ite (> (ite (> x4 k) (ite true -9 x12) (- x10 x5)) (ite (> x14 x9) (ite true -9 x12) (ite false x3 k))) (ite  false  (ite true -9 x12) (ite false x3 k)) (* -17 (ite true x9 x7))) (ite (> x4 k) (* -17 (ite true x9 x7)) x9)) 8 (ite (>= k (ite true x3 x11)) (+ 6 6) (ite (< k x1) (* -1 0)  (+ 1 1))))))))))))))),943
src\main\resources\stochasticBenchmarks\fg_array_search_15.sl,true,100,(ite (and (>= (- k x2) (* 0 x3)) (< k x3)) 2 (ite (and (> k x12) (>= x13 k)) 12 (ite (and (not (< x10 k)) (>= (- (ite true k x1) (+ x9 1)) (* 0 x9))) 9 (ite (and (and (< (ite false x9 x10) (ite true k x7)) (< k (ite  false  (* 13 x8) (ite false x14 x11)))) (or (or  false  (or true true))  false )) 10 (ite (> k x15) 15 (ite (or (< x14 k) (and true false)) 14 (ite (and (or (>= x6 k) false) (<= x5 k)) 5 (ite (and (>= x4 k) (<= (ite  false  (ite true x12 x14) (- x2 x5)) (ite (> x3 k) (- k x8) (* 0 x8)))) 3 (ite (and (not (>= (+ -1 x5) (+ (* 0 x13) (+ k 0)))) (< k x7)) 6 (ite (and (>= x6 k) (> (+ (* 0 x10) (- k x7)) (ite  false  (ite (and (> x5 k) false) (+ k x4) (* 1 x3)) (- x4 x7)))) (* 1 (+ -6 10)) (ite (< k x1) (* 0 var13;) (ite (or  false  (and (or  false  (and (> k x9) (or true false))) (> x12 k))) 11 (ite (< (- k x3) (* 0 x1)) 1 (ite (<= x13 k) (+ 4 9) (ite (< k x8) 7  (* -1 -8)))))))))))))))),908
src\main\resources\stochasticBenchmarks\fg_array_search_16.sl,true,142,(ite (and (or (and  true  (or (>= x13 k) (and false false)))  false ) (or (and (and  false   false )  false ) (and (and  true   true ) (<= x12 k)))) 13 (ite (>= (* 1 (ite (> k x2) (* 0 (+ (* 1 x9) (* -13 (- x2 x7)))) (- x2 x7))) (ite (>= x3 k) (ite  false  (- x11 (- x16 x8)) (* 0 x6)) (ite (> x6 x3) (- x11 x3) k))) 3 (ite (and (and (and true (and (or (>= x6 k)  false ) (and (or  false   true )  true )))  true ) (< x5 (ite true k x12))) 6 (ite (>= (ite (>= x4 x1) (ite false x8 x0) (- x4 x5)) k) (- var2; var2;) (ite (and (and (or  false   true ) (<= (+ (+ x16 (* 10 (ite false x1 k))) (ite false x11 x4)) (+ (+ x16 (* 10 x11)) (ite false (* 0 (* 1 (ite true x7 x14))) x4)))) (< x10 k)) 11 (ite (and (<= k x15) (or (or (and (> (- (+ k x2) (+ x2 (+ x9 x4))) (- (- (+ x8 x13) (+ x9 x4)) (- (+ x8 x13) (ite false x10 x14))))  true ) false) false)) 15 (ite (< k (ite (>= (+ (+ k k) (- x10 (- (+ (ite true x7 x16) x4) k))) (+ (+ k k) (- x10 x7))) (ite (and  false  (and  false  (< (- x15 x8) (+ x16 x3)))) x9 x5) k)) 5 (ite (>= k x16) 17 (ite (and (not false) (< x14 k)) 16 (ite (< x12 k) 14 (ite (= (* 0 (+ (+ (- x15 (ite  false  (ite false x5 x16) (* -6 (* -10 x5)))) (ite true x7 x2)) (* -7 (* -10 x5)))) (ite (<= k x7) (- (ite (< k x4) (- x15 x5) (* 0 x14)) (* 0 (ite true x14 x12))) (* -1 (- (ite true x12 x12) (ite false x10 x9))))) 7 (ite (not (<= k x10)) 12 (ite (and (and  true  (not (<= (ite false x12 x8) k))) (>= k x7)) 8 (ite (and (and (>= (+ (* -1 x1) (+ k x6)) x6) (or  false  (and  true  (<= k x2))))  true ) 2 (ite (>= (ite true k x2) (ite true x9 x13)) 10 (ite (and (> x4 k) (> k x3)) 4 (ite (<= x8 k) (+ 8 1)  1))))))))))))))))),1645
